municipio_id,Municipio,Capital,UF
1100809,Candeias do Jamari,Falso,RO
1100338,Nova Mamoré,Falso,RO
1100205,Porto Velho,Verdadeiro,RO
1101104,Itapuã do Oeste,Falso,RO
1100940,Cujubim,Falso,RO
1100452,Buritis,Falso,RO
1100700,Campo Novo de Rondônia,Falso,RO
1100106,Guajará-Mirim,Falso,RO
1101492,São Francisco do Guaporé,Falso,RO
1100080,Costa Marques,Falso,RO
1101401,Monte Negro,Falso,RO
1100262,Rio Crespo,Falso,RO
1100403,Alto Paraíso,Falso,RO
1100601,Cacaulândia,Falso,RO
1100023,Ariquemes,Falso,RO
1101757,Vale do Anari,Falso,RO
1100130,Machadinho D'Oeste,Falso,RO
1101005,Governador Jorge Teixeira,Falso,RO
1101609,Theobroma,Falso,RO
1100114,Jaru,Falso,RO
1101435,Nova União,Falso,RO
1100122,Ji-Paraná,Falso,RO
1101559,Teixeirópolis,Falso,RO
1101807,Vale do Paraíso,Falso,RO
1101708,Urupá,Falso,RO
1101302,Mirante da Serra,Falso,RO
1100254,Presidente Médici,Falso,RO
1100155,Ouro Preto do Oeste,Falso,RO
1100320,São Miguel do Guaporé,Falso,RO
1101500,Seringueiras,Falso,RO
1100346,Alvorada D'Oeste,Falso,RO
1100148,Nova Brasilândia D'Oeste,Falso,RO
1100502,Novo Horizonte do Oeste,Falso,RO
1100379,Alto Alegre dos Parecis,Falso,RO
1100296,Santa Luzia D'Oeste,Falso,RO
1100908,Castanheiras,Falso,RO
1100015,Alta Floresta D'Oeste,Falso,RO
1100049,Cacoal,Falso,RO
1100098,Espigão D'Oeste,Falso,RO
1100288,Rolim de Moura,Falso,RO
1101203,Ministro Andreazza,Falso,RO
1101484,São Felipe D'Oeste,Falso,RO
1100189,Pimenta Bueno,Falso,RO
1101476,Primavera de Rondônia,Falso,RO
1101450,Parecis,Falso,RO
1100924,Chupinguaia,Falso,RO
1100304,Vilhena,Falso,RO
1100064,Colorado do Oeste,Falso,RO
1100031,Cabixi,Falso,RO
1100056,Cerejeiras,Falso,RO
1100072,Corumbiara,Falso,RO
1101468,Pimenteiras do Oeste,Falso,RO
1200336,Mâncio Lima,Falso,RO
1200203,Cruzeiro do Sul,Falso,AC
1200393,Porto Walter,Falso,AC
1200427,Rodrigues Alves,Falso,AC
1200351,Marechal Thaumaturgo,Falso,AC
1200609,Tarauacá,Falso,AC
1200328,Jordão,Falso,AC
1200302,Feijó,Falso,AC
1200500,Sena Madureira,Falso,AC
1200435,Santa Rosa do Purus,Falso,AC
1200344,Manoel Urbano,Falso,AC
